"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"Age of Mother"	"Age of Mother Code"	"Marital Status"	"Marital Status Code"	"Education"	"Education Code"	Births
	"2003"	"2003"	"February"	"2"	"35-39 years"	"35-39"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	138
	"2003"	"2003"	"February"	"2"	"35-39 years"	"35-39"	"Unmarried"	"2"	"Excluded"	"999"	258
	"2003"	"2003"	"February"	"2"	"40-44 years"	"40-44"	"Married"	"1"	"0 -  8 years"	"19176"	336
	"2003"	"2003"	"February"	"2"	"40-44 years"	"40-44"	"Married"	"1"	"9 - 11 years"	"19177"	217
	"2003"	"2003"	"February"	"2"	"40-44 years"	"40-44"	"Married"	"1"	"12 years"	"19178"	1066
	"2003"	"2003"	"February"	"2"	"40-44 years"	"40-44"	"Married"	"1"	"13 - 15 years"	"19179"	1272
	"2003"	"2003"	"February"	"2"	"40-44 years"	"40-44"	"Married"	"1"	"16 years and over"	"16+"	3026
	"2003"	"2003"	"February"	"2"	"40-44 years"	"40-44"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	99
	"2003"	"2003"	"February"	"2"	"40-44 years"	"40-44"	"Married"	"1"	"Excluded"	"999"	387
	"2003"	"2003"	"February"	"2"	"40-44 years"	"40-44"	"Unmarried"	"2"	"0 -  8 years"	"19176"	136
	"2003"	"2003"	"February"	"2"	"40-44 years"	"40-44"	"Unmarried"	"2"	"9 - 11 years"	"19177"	178
	"2003"	"2003"	"February"	"2"	"40-44 years"	"40-44"	"Unmarried"	"2"	"12 years"	"19178"	401
	"2003"	"2003"	"February"	"2"	"40-44 years"	"40-44"	"Unmarried"	"2"	"13 - 15 years"	"19179"	284
	"2003"	"2003"	"February"	"2"	"40-44 years"	"40-44"	"Unmarried"	"2"	"16 years and over"	"16+"	276
	"2003"	"2003"	"February"	"2"	"40-44 years"	"40-44"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	28
	"2003"	"2003"	"February"	"2"	"40-44 years"	"40-44"	"Unmarried"	"2"	"Excluded"	"999"	82
	"2003"	"2003"	"February"	"2"	"45-49 years"	"45-49"	"Married"	"1"	"0 -  8 years"	"19176"	27
	"2003"	"2003"	"February"	"2"	"45-49 years"	"45-49"	"Married"	"1"	"9 - 11 years"	"19177"	14
	"2003"	"2003"	"February"	"2"	"45-49 years"	"45-49"	"Married"	"1"	"12 years"	"19178"	58
	"2003"	"2003"	"February"	"2"	"45-49 years"	"45-49"	"Married"	"1"	"13 - 15 years"	"19179"	65
	"2003"	"2003"	"February"	"2"	"45-49 years"	"45-49"	"Married"	"1"	"16 years and over"	"16+"	158
	"2003"	"2003"	"February"	"2"	"45-49 years"	"45-49"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	10
	"2003"	"2003"	"February"	"2"	"45-49 years"	"45-49"	"Married"	"1"	"Excluded"	"999"	20
	"2003"	"2003"	"February"	"2"	"45-49 years"	"45-49"	"Unmarried"	"2"	"0 -  8 years"	"19176"	7
	"2003"	"2003"	"February"	"2"	"45-49 years"	"45-49"	"Unmarried"	"2"	"9 - 11 years"	"19177"	5
	"2003"	"2003"	"February"	"2"	"45-49 years"	"45-49"	"Unmarried"	"2"	"12 years"	"19178"	21
	"2003"	"2003"	"February"	"2"	"45-49 years"	"45-49"	"Unmarried"	"2"	"13 - 15 years"	"19179"	14
	"2003"	"2003"	"February"	"2"	"45-49 years"	"45-49"	"Unmarried"	"2"	"16 years and over"	"16+"	12
	"2003"	"2003"	"February"	"2"	"45-49 years"	"45-49"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	1
	"2003"	"2003"	"February"	"2"	"45-49 years"	"45-49"	"Unmarried"	"2"	"Excluded"	"999"	4
	"2003"	"2003"	"February"	"2"	"50-54 years"	"50-54"	"Married"	"1"	"0 -  8 years"	"19176"	2
	"2003"	"2003"	"February"	"2"	"50-54 years"	"50-54"	"Married"	"1"	"9 - 11 years"	"19177"	1
	"2003"	"2003"	"February"	"2"	"50-54 years"	"50-54"	"Married"	"1"	"12 years"	"19178"	2
	"2003"	"2003"	"February"	"2"	"50-54 years"	"50-54"	"Married"	"1"	"13 - 15 years"	"19179"	1
	"2003"	"2003"	"February"	"2"	"50-54 years"	"50-54"	"Married"	"1"	"16 years and over"	"16+"	13
	"2003"	"2003"	"February"	"2"	"50-54 years"	"50-54"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	2
	"2003"	"2003"	"February"	"2"	"50-54 years"	"50-54"	"Married"	"1"	"Excluded"	"999"	2
	"2003"	"2003"	"February"	"2"	"50-54 years"	"50-54"	"Unmarried"	"2"	"0 -  8 years"	"19176"	1
	"2003"	"2003"	"February"	"2"	"50-54 years"	"50-54"	"Unmarried"	"2"	"12 years"	"19178"	2
	"2003"	"2003"	"February"	"2"	"50-54 years"	"50-54"	"Unmarried"	"2"	"16 years and over"	"16+"	2
	"2003"	"2003"	"February"	"2"	"50-54 years"	"50-54"	"Unmarried"	"2"	"Excluded"	"999"	1
